station_id,station_name,city,sample_size,wins,losses,win_rate_pct,avg_predicted_prob_pct,total_pl,roi_pct,calibration_error_pp,note
KOKC,Will Rogers World Airport,Oklahoma City,3,3,0,100,93.86,10.468,34.89,6.14,small sample
KDFW,Dallas/Fort Worth International Airport,Dallas,3,1,2,33.33,94.33,-18.2353,-60.78,-61,small sample
KDEN,Denver International Airport,Denver,3,2,1,66.67,96.38,-2.9875,-9.96,-29.71,small sample
KMIA,Miami International Airport,Miami,2,2,0,100,93.4,7.7303,38.65,6.6,small sample
verified,"Central Park, NY",New York City,1,0,1,0,43.38,-10,-100,-43.38,small sample
KHOU,Houston William P. Hobby Airport,Houston,1,0,1,0,93.4,-10,-100,-93.4,small sample
KMSP,Minneapolis–Saint Paul International Airport,Minneapolis,1,1,0,100,98.43,7.5439,75.44,1.57,small sample
KLAX,Los Angeles International Airport,Los Angeles,1,0,1,0,94.14,-10,-100,-94.14,small sample
"null,null",,,1,0,1,0,0,0,,0,small sample
