market_ticker,city,weather_variable,contract_type,direction,strategy_version,model_probability_pct,market_entry_price,claimed_edge_pp,forecast_value_f,era5_actual_f,decision_forecast_error_f,threshold_or_range,distance_from_threshold_f,sigma_used,bias_correction,fallback_level,confidence_label,kalshi_result,outcome,loss_category,driver_of_high_confidence,integrity_flag,hypothesis
KXHIGHDEN-26AUG06-B96.5,Denver,high,range,NO,v2.2,94.68,0.59,35.68,100.5,96,4.5,96–97°F range,0,6,0,fixed_table,High,yes,LOSS,Forecast miss,sigma=6°F; fallback=fixed_table,,Model forecast (100.5°F) diverged from ERA5 actual (96°F) by 4.5°F. ERA5 grid vs point-station diff or GFS forecast error
KXHIGHTDAL-26AUG06-B100.5,Dallas,high,range,NO,v2.2,93.91,0.52,41.91,103,102.3,0.7,100–101°F range,1.3,6,0,fixed_table,High,yes,LOSS,Station/Settlement mismatch,sigma=6°F; fallback=fixed_table,ERA5_KALSHI_DISAGREE,ERA5 and NWS disagree on actual value — possible station/measurement source mismatch; requires manual cross-check of NWS daily CLI report
KXLOWTDAL-26AUG06-B81.5,Dallas,low,range,NO,v2.2,93.39,0.59,34.39,80.9,81.3,-0.4,81–82°F range,0.3,6,0,fixed_table,High,yes,LOSS,Threshold too close,sigma=6°F; fallback=fixed_table,,Actual value fell within the range; forecast was close but overshot. Sigma floor may underestimate uncertainty near typical temperature ranges
KXLOWTHOU-26AUG06-B77.5,Houston,low,range,NO,v2.2,93.4,0.58,35.4,78.2,78.3,-0.1,77–78°F range,0.7,6,0,fixed_table,High,yes,LOSS,Threshold too close,sigma=6°F; fallback=fixed_table,,Actual value fell within the range; forecast was close but overshot. Sigma floor may underestimate uncertainty near typical temperature ranges
KXLOWTLAX-26AUG06-B68.5,Los Angeles,low,range,NO,v2.2,94.14,0.67,27.14,71.5,,,68–69°F range,,6,0,fixed_table,High,yes,LOSS,Unknown,sigma=6°F; fallback=fixed_table,,Insufficient data to classify automatically
