market_ticker,city,station_model,station_id_model,kalshi_settlement_station,market_date,prediction_timestamp,settlement_timestamp,strategy_version,direction,model_probability_pct,market_entry_price,claimed_edge_pp,stake,realized_pl,forecast_weather_value_f,era5_actual_value_f,forecast_error_f,threshold_or_range,distance_from_threshold_f,lead_time_days,forecast_source,sigma_used,bias_correction,fallback_level,confidence_label,reason_model_liked_trade,loss_category,integrity_flag,integrity_detail
KXLOWTNYC-26AUG06-T75,New York City,"Central Park, NY",verified,,2026-08-07,,2026-08-07T14:02:33.047Z,v2.2,YES,43.38,0.21,22.38,10,-10,74,75.7,-1.7,gte 75°F,0.7,2,"fixed_table, bias=+0.0°F",6,0,fixed_table,High,"[v2.2] EdgeCast estimated 43.4% YES (σ=6.0°F/fixed_table, bias=+0.0°F). YES price (YES_ASK) implied 21.0%. Edge: +22.4pp. Confidence: Very High. Station: Central Park, NY (verified).",Station/Settlement mismatch,ERA5_KALSHI_DISAGREE,"ERA5 actual 75.7°F → would give kalshi=yes, but Kalshi settled no"
KXLOWTHOU-26AUG06-B77.5,Houston,Houston William P. Hobby Airport,KHOU,,2026-08-07,,2026-08-07T14:02:32.096Z,v2.2,NO,93.4,0.58,35.4,10,-10,78.2,78.3,-0.1,77–78°F range,0.7,2,"fixed_table, bias=+0.0°F",6,0,fixed_table,High,"[v2.2] EdgeCast estimated 6.6% YES (σ=6.0°F/fixed_table, bias=+0.0°F). NO price (NO_ASK) implied 58.0%. Edge: +35.4pp. Confidence: Very High. Station: Houston William P. Hobby Airport (KHOU) (verified).",Threshold too close,,
KXLOWTDAL-26AUG06-B81.5,Dallas,Dallas/Fort Worth International Airport,KDFW,,2026-08-07,,2026-08-07T14:02:31.605Z,v2.2,NO,93.39,0.59,34.39,10,-10,80.9,81.3,-0.4,81–82°F range,0.3,2,"fixed_table, bias=+0.0°F",6,0,fixed_table,High,"[v2.2] EdgeCast estimated 6.6% YES (σ=6.0°F/fixed_table, bias=+0.0°F). NO price (NO_ASK) implied 59.0%. Edge: +34.4pp. Confidence: Very High. Station: Dallas/Fort Worth International Airport (KDFW) (verified).",Threshold too close,,
KXHIGHTDAL-26AUG06-B100.5,Dallas,Dallas/Fort Worth International Airport,KDFW,,2026-08-07,,2026-08-07T14:02:30.281Z,v2.2,NO,93.91,0.52,41.91,10,-10,103,102.3,0.7,100–101°F range,1.3,2,"fixed_table, bias=+0.0°F",6,0,fixed_table,High,"[v2.2] EdgeCast estimated 6.1% YES (σ=6.0°F/fixed_table, bias=+0.0°F). NO price (NO_ASK) implied 52.0%. Edge: +41.9pp. Confidence: Very High. Station: Dallas/Fort Worth International Airport (KDFW) (verified).",Station/Settlement mismatch,ERA5_KALSHI_DISAGREE,"ERA5 actual 102.3°F → would give kalshi=no, but Kalshi settled yes"
KXLOWTLAX-26AUG06-B68.5,Los Angeles,Los Angeles International Airport,KLAX,,2026-08-08,,2026-08-07T14:02:07.514Z,v2.2,NO,94.14,0.67,27.14,10,-10,71.5,,,68–69°F range,,2,"fixed_table, bias=+0.0°F",6,0,fixed_table,High,"[v2.2] EdgeCast estimated 5.9% YES (σ=6.0°F/fixed_table, bias=+0.0°F). NO price (NO_ASK) implied 67.0%. Edge: +27.1pp. Confidence: Very High. Station: Los Angeles International Airport (KLAX) (verified).",Unknown,,
KXHIGHDEN-26AUG06-B96.5,Denver,Denver International Airport,KDEN,,2026-08-07,,2026-08-07T11:01:32.767Z,v2.2,NO,94.68,0.59,35.68,10,-10,100.5,96,4.5,96–97°F range,0,2,"fixed_table, bias=+0.0°F",6,0,fixed_table,High,"[v2.2] EdgeCast estimated 5.3% YES (σ=6.0°F/fixed_table, bias=+0.0°F). NO price (NO_ASK) implied 59.0%. Edge: +35.7pp. Confidence: Very High. Station: Denver International Airport (KDEN) (verified).",Forecast miss,,
